Server run,workstation,stream,job,dependency,schedule,ET,user,script
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2P_D_AM,EIW_P2P_D_AM,"B03ACIAPP019#EIW_OPPDTLC_AM,B03ACIAPP019#EIW_P2P_EXT_D_AM.EIW_P2P_EXT_AM,,","mon,tue,thu,fri",00:04:43,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh AM PREDICTIVE_ANALYTICS P2P_SCORE_MASTER_DAILY_SEQ
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPDTLC_AP,EIW_OPPDTLC_AP_MTRC_AP,"B03ACIAPP019#EIW_OPPDTLC_AP_CMF1_AP,B03ACIAPP019#EIW_OPPDTLC_AP_ODEC1_AP,","mon,tue,wed,thu,fri",00:07:48,eiwclst,/home/eiwclst/LM/wrk/metrics.sh AP
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPDTLC_AP,EIW_OPPDTL_AP_OWNG_AP,"B03ACIAPP019#EIW_OPPDTLC_AP_CMF2_AP,","mon,tue,wed,thu,fri",00:10:12,eiwclst,/home/eiwclst/LM/wrk/fulfillcode.sh AP
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPDTLC_AP,EIW_OPPDTLC_AP_CMF2_AP,"B03ACIAPP019#EIW_OPPDTLC_AP_INDC_AP,","mon,tue,wed,thu,fri",00:08:54,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh AP EIWOS COMPONENT_METRIC_FACT_UPDT_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPDTLC_AP,EIW_OPPDTLC_AP_INDC_AP,"B03ACIAPP019#EIW_OPPDTLC_AP_MTRC_AP,","mon,tue,wed,thu,fri",00:08:30,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh AP EIWOS OPP_DTL_EIW_CALC_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_OPPFD_QTR_AP,EIW_OPP_FCST_DEC_QTR_AP,"B03ACIAPP019#EIW_OPPDTLC_AP,","mon,tue,wed,thu,fri",00:07:56,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh AP EIWOS OPP_FCST_OR_DEC_QTR_PROGRESS_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2P_EXT_D_AP,EIW_P2P_EXT_AP,"B03ACIAPP019#EIW_OPPDTLC_AP,","mon,tue,wed,thu,fri",00:13:38,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh AP PREDICTIVE_ANALYTICS P2P_EXTRACT_MASTER_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2P_D_AP,EIW_P2P_D_AP,"B03ACIAPP019#EIW_OPPDTLC_AP,B03ACIAPP019#EIW_P2P_EXT_D_AP.EIW_P2P_EXT_AP,,","mon,tue,thu,fri",00:05:11,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh AP PREDICTIVE_ANALYTICS P2P_SCORE_MASTER_DAILY_SEQ
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_OPPINIT_30_W,EIW_OPPINIT_30,B03ACIAPP019#EIW_OPPDTLI_30_W.EIW_OPPDTLINIT_30,"mon,tue,wed,thu,fri",00:01:50,eiwclst,/home/eiwclst/LM/wrk/initruleengine_weekly.sh 30
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_OPPINIT_AM_W,EIW_OPPINIT_AM,B03ACIAPP019#EIW_OPPDTLI_AM_W.EIW_OPPDTLINIT_AM,"mon,tue,wed,thu,fri",00:02:00,eiwclst,/home/eiwclst/LM/wrk/initruleengine_weekly.sh AM
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_OPPINIT_AP_W,EIW_OPPINIT_AP,B03ACIAPP019#EIW_OPPDTLI_AP_W.EIW_OPPDTLINIT_AP,"mon,tue,wed,thu,fri",00:01:35,eiwclst,/home/eiwclst/LM/wrk/initruleengine_weekly.sh AP
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2C_EXT_D,EIW_P2C_EXT_AM_D,"B03ACIAPP019#EIW_P2C_EXT_30_D,",wed,00:05:58,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh AM PREDICTIVE_ANALYTICS P2C_EXTRACTION_MASTER_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2C_EXT_D,EIW_P2C_EXT_30_D,"B03ACIAPP019#EIW_P2C_EXT_AP_D,",wed,00:06:05,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh 30 PREDICTIVE_ANALYTICS P2C_EXTRACTION_MASTER_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2C_W_30,EIW_P2P_W_VALID_30,"B03ACIAPP019#EIW_P2C_W_30.EIW_P2P_W_30,",wed,00:00:29,dsadm,/db2/db2load1/data/Ascential/Scripts/ValidateP2PWeekly.sh
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2C_W_AM,EIW_DS_P2C_SC_PULL,"B03ACIAPP019#EIW_P2C_W_AM.EIW_P2C_AM,",wed,00:08:22,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh PREDICTIVE_ANALYTICS SC_PUSH_WKLY_MASTER_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2C_W_AM,EIW_P2P_W_VALID_AM,"B03ACIAPP019#EIW_P2C_W_AM.EIW_P2P_W_AM,",wed,00:00:36,dsadm,/db2/db2load1/data/Ascential/Scripts/ValidateP2PWeekly.sh
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2C_W_AP,EIW_P2E_AP,"B03ACIAPP019#EIW_P2C_W_AP.EIW_P2C_AP,",wed,00:44:07,dsadm,/db2/db2load1/data/Ascential/Scripts/RunDSMultiJob.sh AP PREDICTIVE_ANALYTICS P2E_MASTER_SEQ
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2C_W_AP,EIW_P2P_W_VALID_AP,"B03ACIAPP019#EIW_P2C_W_AP.EIW_P2P_W_AP,",wed,00:00:36,dsadm,/db2/db2load1/data/Ascential/Scripts/ValidateP2PWeekly.sh
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2P_D_30,EIW_P2P_D_VALID_30,"B03ACIAPP019#EIW_P2P_D_30.EIW_P2P_D_30,","mon,tue,wed,thu,fri",00:00:09,dsadm,/db2/db2load1/data/Ascential/Scripts/ValidateP2PDaily.sh
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2P_D_AM,EIW_P2P_D_VALID_AM,"B03ACIAPP019#EIW_P2P_D_AM.EIW_P2P_D_AM,","mon,tue,wed,thu,fri",00:00:09,dsadm,/db2/db2load1/data/Ascential/Scripts/ValidateP2PDaily.sh
B03ACIAPP019.ahe.boulder.ibm.com,B03ACIAPP019,EIW_P2P_D_AP,EIW_P2P_D_VALID_AP,"B03ACIAPP019#EIW_P2P_D_AP.EIW_P2P_D_AP,","mon,tue,wed,thu,fri",00:00:10,dsadm,/db2/db2load1/data/Ascential/Scripts/ValidateP2PDaily.sh
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_WSAI_GBS_AM,EIW_SCED_GBS_LOAD_AM,B03ACIAPP019#EIW_PST_GBS_W_AM.EIW_SCED_GBS_AM,wed,00:00:31,omatic,/home/omatic/cdw/submit_PM.sh AMSCED_GBS
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_WSAI_GBS_AP,EIW_SCED_GBS_LOAD_AP,B03ACIAPP019#EIW_PST_GBS_W_AP.EIW_SCED_GBS_AP,wed,00:00:36,omatic,/home/omatic/cdw/submit_PM.sh APSCED_GBS
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_WSAI_GBS_EM,EIW_SCED_GBS_LOAD_EM,B03ACIAPP019#EIW_PST_GBS_W_EM.EIW_SCED_GBS_EM,wed,00:00:35,omatic,/home/omatic/cdw/submit_PM.sh EMSCED_GBS
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_WSAI_IBU_AM,EIW_SCED_IBU_LOAD_AM,B03ACIAPP019#EIW_PST_IBU_W_AM.EIW_SCED_IBU_AM,wed,00:03:32,omatic,/home/omatic/cdw/submit_PM.sh AMSCED_IBU
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_WSAI_IBU_AP,EIW_SCED_IBU_LOAD_AP,B03ACIAPP019#EIW_PST_IBU_W_AP.EIW_SCED_IBU_AP,wed,00:03:21,omatic,/home/omatic/cdw/submit_PM.sh APSCED_IBU
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_WSAI_IBU_EM,EIW_SCED_IBU_LOAD_EM,B03ACIAPP019#EIW_PST_IBU_W_EM.EIW_SCED_IBU_EM,wed,00:03:32,omatic,/home/omatic/cdw/submit_PM.sh EMSCED_IBU
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_WSAI_SND_AM,EIW_SCED_SND_LOAD_AM,B03ACIAPP019#EIW_PST_SND_W_AM.EIW_SCED_SND_AM,wed,00:01:00,omatic,/home/omatic/cdw/submit_PM.sh AMSCED_GBS
B03ACIAPP017.ahe.boulder.ibm.com,B03ACIAPP017,EIW_WSAI_SND_AP,EIW_SCED_SND_LOAD_AP,B03ACIAPP019#EIW_PST_SND_W_AP.EIW_SCED_SND_AP,wed,00:00:00,omatic,/home/omatic/cdw/submit_PM.sh APSCED_SND
