Project,Folder,Job,Dependency
ESAOPP,/Jobs/DAP/DAPDM/,EXPORT_FV_OPP_DETAIL_DAILY_MEAS_REVENUE_SEQ.30, 
ESAOPP,/Jobs/DAP/DAPDM/,EXPORT_FV_OPP_DETAIL_DAILY_MEAS_REVENUE_SEQ.AM, 
ESAOPP,/Jobs/DAP/DAPDM/,EXPORT_FV_OPP_DETAIL_DAILY_MEAS_REVENUE_SEQ.AP, 
ESAOPP,/Jobs/DAP/DAPDM/,EXPORT_OPP_FV_YIELD_FACTORS_PAR, 
ESAOPP,/Jobs/DAP/DAPDM/,EXPORT_OPP_FV_YIELD_FACTORS_SEQ, 
ESAOPP,/Jobs/DAP/DAPDM/,EXPORT_OPP_FV_YIELD_FACTORS_SEQ.30, 
ESAOPP,/Jobs/DAP/DAPDM/,EXPORT_OPP_FV_YIELD_FACTORS_SEQ.AM, 
ESAOPP,/Jobs/DAP/DAPDM/,EXPORT_OPP_FV_YIELD_FACTORS_SEQ.AP, 
ESAOPP,/Jobs/EDGEDM/,TWOWEEK_CUSTOMER_DM_PAR, 
ESAOPP,/Jobs/EDGEDM/,TWOWEEK_CUSTOMER_DM_PAR.30, 
ESAOPP,/Jobs/EDGEDM/,TWOWEEK_CUSTOMER_DM_PAR.AM, 
ESAOPP,/Jobs/EDGEDM/,TWOWEEK_CUSTOMER_DM_PAR.AP, 
ESAOPP,/Jobs/EDGEDM/,TWOWEEK_CUSTOMER_DM_SEQ, 
ESAOPP,/Jobs/EDGEDM/,TWOWEEK_CUSTOMER_DM_SEQ.30, 
ESAOPP,/Jobs/EDGEDM/,TWOWEEK_CUSTOMER_DM_SEQ.AM, 
ESAOPP,/Jobs/EDGEDM/,TWOWEEK_CUSTOMER_DM_SEQ.AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,COMPETITOR_load_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,CUSTOMER_load_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,Export_CRM_USER_seq_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,INFLUENCER_load_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,OPP_CAMPAIGN_load_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,OPP_CATEGORY_load_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,OPP_DETAIL_FACTS_load_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,OPP_LOB_load_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,OPP_RELATED_OPP_load_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,OPP_SC_PROGRESS_load_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,OPP_SC_PROGRESS_load_30.DM_Scl_Progress_Load_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,OPP_SSTG_load_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,OPPORTUNITY_load_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,ROLE_load_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,sqrDM_Competitor_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,sqrDM_Customer_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,sqrDM_EDGEDM_LOAD_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,sqrDM_Influencer_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,sqrDM_Opp_Campaign_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,sqrDM_Opp_Category_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,sqrDM_Opp_Detail_Facts_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,sqrDM_Opp_Lob_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,sqrDM_Opp_Related_Opp_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,sqrDM_Opp_Sc_Progress_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,sqrDM_Opp_SSTG_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,sqrDM_Opp_Text_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,sqrDM_Opportunity_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_30/,sqrDM_Role_30, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,COMPETITOR_load_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,CUSTOMER_load_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,Export_CRM_USER_seq_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,INFLUENCER_load_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,OPP_CAMPAIGN_load_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,OPP_CATEGORY_load_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,OPP_DETAIL_FACTS_load_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,OPP_LOB_load_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,OPP_RELATED_OPP_load_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,OPP_SC_PROGRESS_load_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,OPP_SSTG_load_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,OPPORTUNITY_load_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,ROLE_load_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,sqrDM_Competitor_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,sqrDM_Customer_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,sqrDM_EDGEDM_LOAD_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,sqrDM_Influencer_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,sqrDM_Opp_Campaign_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,sqrDM_Opp_Category_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,sqrDM_Opp_Detail_Facts_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,sqrDM_Opp_Lob_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,sqrDM_Opp_Related_Opp_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,sqrDM_Opp_Sc_Progress_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,sqrDM_Opp_SSTG_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,sqrDM_Opp_Text_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,sqrDM_Opportunity_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AM/,sqrDM_Role_AM, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,COMPETITOR_load_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,CUSTOMER_load_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,Export_CRM_USER_seq_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,INFLUENCER_load_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,OPP_CAMPAIGN_load_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,OPP_CATEGORY_load_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,OPP_DETAIL_FACTS_load_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,OPP_LOB_load_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,OPP_RELATED_OPP_load_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,OPP_SC_PROGRESS_load_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,OPP_SSTG_load_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,OPPORTUNITY_load_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,ROLE_load_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,sqrDM_Competitor_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,sqrDM_Customer_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,sqrDM_EDGEDM_LOAD_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,sqrDM_Influencer_AP, 
ESAOPP,/Jobs/EDGEDM/EDGEDM_AP/,sqrDM_Opp_Campaign_AP, 
